主订单编号,选购商品,收件人,收件人手机号,省,市,区,街道,详细地址,快递信息
"	4837549956160754826",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501728699630
"	4837549951872350128",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728680940
"	4837549861671494794",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728699630
"	4837549801582746886",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728699497
"	4837549788658603146",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728699630
"	4837549775769937890",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728699576
"	4837549698462223425",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501744223385
"	4837549672695026826",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728699630
"	4837549651240732301",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728679233
"	4837549475132878012",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728700615
"	4837549440801169086",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728679141
"	4837549363464197185",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,
"	4837549208845737483",葡萄牙进口Renova彩色卷纸6卷礼盒装葡萄牙国礼套盒-6卷混色-(RZH-100130),***,***,***,***,***,***,***,中通速递-75501728637916
"	4837549178777599126",葡萄牙进口Renova彩色卷纸6卷礼盒装葡萄牙国礼套盒-6卷混色-(RZH-100130),***,***,***,***,***,***,***,
"	4837549153001921586",葡萄牙进口Renova彩色卷纸6卷礼盒装葡萄牙国礼套盒-6卷混色-(RZH-100130),***,***,***,***,***,***,***,
"	4837549097167195868",葡萄牙进口Renova彩色卷纸6卷礼盒装葡萄牙国礼套盒-6卷混色-(RZH-100130),***,***,***,***,***,***,***,中通速递-75501728685000
"	4837549105768836628",葡萄牙进口Renova彩色卷纸6卷礼盒装葡萄牙国礼套盒-6卷混色-(RZH-100130),***,***,***,***,***,***,***,中通速递-75501728729976
"	4837549024153777810",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501728700684
"	4837548921077898898",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728700684
"	4837548912497996992",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728870129
"	4837548641901368973",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728679233
